wordpair,Level,candidate_type,type,n_steps,n_model_candidates,n_human_candidates,n_intersection,intersection
glass-cage,medium,clueOption1,intersection,1024,11728,29,24,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'display', 'contain', 'oppression', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,intersection,2048,11995,29,24,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'display', 'contain', 'oppression', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,intersection,4096,12121,29,25,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'display', 'contain', 'oppression', 'fish tank', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,union,2,159,29,13,"['trap', 'clear', 'break', 'dog', 'trapped', 'window', 'jail', 'bird', 'zoo', 'container', 'contain', 'enclosure', 'fragile']"
glass-cage,medium,clueOption1,union,4,1748,29,17,"['enclosed', 'trap', 'clear', 'break', 'dog', 'window', 'trapped', 'jail', 'bird', 'enclosure', 'zoo', 'container', 'contain', 'band', 'surface', 'delicate', 'fragile']"
glass-cage,medium,clueOption1,union,8,3791,29,17,"['enclosed', 'trap', 'clear', 'dog', 'break', 'window', 'jail', 'trapped', 'bird', 'zoo', 'enclosure', 'container', 'contain', 'band', 'surface', 'delicate', 'fragile']"
glass-cage,medium,clueOption1,union,16,5901,29,21,"['break', 'zoo', 'trapped', 'bird', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'contain', 'display', 'oppression', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,union,32,7841,29,21,"['break', 'zoo', 'trapped', 'bird', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'contain', 'display', 'oppression', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,union,64,9572,29,24,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'contain', 'display', 'oppression', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,union,128,10823,29,25,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'contain', 'display', 'oppression', 'fish tank', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,union,256,11527,29,25,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'contain', 'display', 'oppression', 'fish tank', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,union,512,11910,29,25,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'fragile', 'mime', 'museum', 'trap', 'window', 'display', 'contain', 'oppression', 'fish tank', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,union,1024,12092,29,25,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'display', 'contain', 'oppression', 'fish tank', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,union,2048,12150,29,25,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'display', 'contain', 'oppression', 'fish tank', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption1,union,4096,12183,29,25,"['break', 'zoo', 'trapped', 'bird', 'belle', 'dainty', 'container', 'surface', 'delicate', 'enclosed', 'jail', 'aquarium', 'band', 'mime', 'fragile', 'museum', 'trap', 'window', 'display', 'contain', 'oppression', 'fish tank', 'clear', 'dog', 'enclosure']"
glass-cage,medium,clueOption2,intersection,2,1,35,0,[]
glass-cage,medium,clueOption2,intersection,4,294,35,9,"['animals', 'trap', 'see', 'break', 'box', 'window', 'prison', 'fish', 'hold']"
glass-cage,medium,clueOption2,intersection,8,1181,35,14,"['scary', 'animals', 'vessel', 'trap', 'clear', 'material', 'see', 'break', 'box', 'window', 'bird', 'prison', 'fish', 'hold']"
glass-cage,medium,clueOption2,intersection,16,2572,35,19,"['hold', 'break', 'zoo', 'bird', 'pane', 'dangerous', 'fragile', 'material', 'trap', 'window', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'prison', 'pet', 'scary']"
glass-cage,medium,clueOption2,intersection,32,4321,35,25,"['storage', 'hold', 'break', 'zoo', 'bird', 'breakable', 'bars', 'tank', 'pane', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'scary']"
glass-cage,medium,clueOption2,intersection,64,6324,35,28,"['storage', 'hold', 'break', 'zoo', 'bird', 'breakable', 'bars', 'tank', 'chamber', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'scary']"
glass-cage,medium,clueOption2,intersection,128,8394,35,30,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,intersection,256,10040,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,intersection,512,11145,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,intersection,1024,11728,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,intersection,2048,11995,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,intersection,4096,12121,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,union,2,159,35,21,"['break', 'zoo', 'lizard', 'bird', 'breakable', 'bars', 'pane', 'fragile', 'trap', 'window', 'shatter', 'confinement', 'animals', 'vessel', 'clear', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,union,4,1748,35,29,"['storage', 'hold', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'enclosed', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'scary']"
glass-cage,medium,clueOption2,union,8,3791,35,29,"['storage', 'hold', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'enclosed', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'scary']"
glass-cage,medium,clueOption2,union,16,5901,35,30,"['storage', 'hold', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'enclosed', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'scary']"
glass-cage,medium,clueOption2,union,32,7841,35,30,"['storage', 'hold', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'enclosed', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'scary']"
glass-cage,medium,clueOption2,union,64,9572,35,32,"['storage', 'hold', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'scary']"
glass-cage,medium,clueOption2,union,128,10823,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,union,256,11527,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,union,512,11910,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,union,1024,12092,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,union,2048,12150,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption2,union,4096,12183,35,32,"['storage', 'break', 'zoo', 'bird', 'lizard', 'breakable', 'bars', 'tank', 'scary', 'enclosed', 'chamber', 'aquarium', 'pane', 'hamster', 'dangerous', 'fragile', 'material', 'trap', 'window', 'shatter', 'confinement', 'fish', 'animals', 'vessel', 'clear', 'see', 'box', 'ceiling', 'prison', 'pet', 'enclosure', 'hold']"
glass-cage,medium,clueOption3,intersection,2,1,36,0,[]
glass-cage,medium,clueOption3,intersection,4,294,36,12,"['animals', 'see', 'box', 'window', 'animal', 'locked', 'prison', 'walls', 'in', 'house', 'fish', 'wall']"
glass-cage,medium,clueOption3,intersection,8,1181,36,22,"['danger', 'sand', 'bird', 'walls', 'wall', 'jail', 'animal', 'fly', 'material', 'case', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house']"
glass-cage,medium,clueOption3,intersection,16,2572,36,27,"['transparent', 'danger', 'sand', 'zoo', 'bird', 'walls', 'wall', 'jail', 'animal', 'mirror', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house']"
glass-cage,medium,clueOption3,intersection,32,4321,36,28,"['danger', 'transparent', 'sand', 'zoo', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house']"
glass-cage,medium,clueOption3,intersection,64,6324,36,30,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,intersection,128,8394,36,31,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,intersection,256,10040,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,intersection,512,11145,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,intersection,1024,11728,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'bowl', 'fish', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,intersection,2048,11995,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'bowl', 'fish', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,intersection,4096,12121,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'bowl', 'fish', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,2,159,36,17,"['transparent', 'animals', 'lock', 'sand', 'box', 'jail', 'mirror', 'locked', 'prison', 'trapped', 'window', 'animal', 'bird', 'zoo', 'house', 'enclosure', 'bowl']"
glass-cage,medium,clueOption3,union,4,1748,36,27,"['transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'wall', 'jail', 'animal', 'mirror', 'dangerous', 'material', 'cell', 'fly', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,8,3791,36,29,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'wall', 'jail', 'animal', 'mirror', 'dangerous', 'fly', 'material', 'cell', 'case', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,16,5901,36,30,"['transparent', 'danger', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,32,7841,36,30,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,64,9572,36,31,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,128,10823,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,256,11527,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,512,11910,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'fish', 'bowl', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,1024,12092,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'bowl', 'fish', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,2048,12150,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'bowl', 'fish', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption3,union,4096,12183,36,32,"['danger', 'transparent', 'sand', 'zoo', 'trapped', 'bird', 'walls', 'tank', 'wall', 'jail', 'animal', 'mirror', 'aquarium', 'dangerous', 'fly', 'cell', 'material', 'case', 'inside', 'window', 'locked', 'exhibit', 'in', 'bowl', 'fish', 'animals', 'lock', 'see', 'box', 'prison', 'house', 'enclosure']"
glass-cage,medium,clueOption4,intersection,2,1,7,0,[]
glass-cage,medium,clueOption4,intersection,4,294,7,1,['window']
glass-cage,medium,clueOption4,intersection,8,1181,7,3,"['escape', 'sight', 'window']"
glass-cage,medium,clueOption4,intersection,16,2572,7,6,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight']"
glass-cage,medium,clueOption4,intersection,32,4321,7,7,"['transparent', 'zoo', 'window', 'escape', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,intersection,64,6324,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,intersection,128,8394,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,intersection,256,10040,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,intersection,512,11145,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,intersection,1024,11728,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,intersection,2048,11995,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,intersection,4096,12121,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,2,159,7,3,"['transparent', 'zoo', 'window']"
glass-cage,medium,clueOption4,union,4,1748,7,7,"['transparent', 'zoo', 'window', 'escape', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,8,3791,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,16,5901,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,32,7841,7,7,"['transparent', 'zoo', 'window', 'escape', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,64,9572,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,128,10823,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,256,11527,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,512,11910,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,1024,12092,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,2048,12150,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption4,union,4096,12183,7,7,"['transparent', 'zoo', 'escape', 'window', 'barrier', 'sight', 'see through']"
glass-cage,medium,clueOption5,intersection,2,1,5,0,[]
glass-cage,medium,clueOption5,intersection,4,294,5,2,"['fish', 'trap']"
glass-cage,medium,clueOption5,intersection,8,1181,5,2,"['fish', 'trap']"
glass-cage,medium,clueOption5,intersection,16,2572,5,2,"['fish', 'trap']"
glass-cage,medium,clueOption5,intersection,32,4321,5,2,"['fish', 'trap']"
glass-cage,medium,clueOption5,intersection,64,6324,5,3,"['fish', 'mime', 'trap']"
glass-cage,medium,clueOption5,intersection,128,8394,5,3,"['fish', 'mime', 'trap']"
glass-cage,medium,clueOption5,intersection,256,10040,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,intersection,512,11145,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,intersection,1024,11728,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,intersection,2048,11995,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,intersection,4096,12121,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,union,2,159,5,1,['trap']
glass-cage,medium,clueOption5,union,4,1748,5,3,"['fish', 'shard', 'trap']"
glass-cage,medium,clueOption5,union,8,3791,5,3,"['fish', 'shard', 'trap']"
glass-cage,medium,clueOption5,union,16,5901,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,union,32,7841,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,union,64,9572,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,union,128,10823,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,union,256,11527,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,union,512,11910,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,union,1024,12092,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,union,2048,12150,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption5,union,4096,12183,5,4,"['fish', 'shard', 'mime', 'trap']"
glass-cage,medium,clueOption6,intersection,2,1,3,0,[]
glass-cage,medium,clueOption6,intersection,4,294,3,0,[]
glass-cage,medium,clueOption6,intersection,8,1181,3,1,['clear']
glass-cage,medium,clueOption6,intersection,16,2572,3,1,['clear']
glass-cage,medium,clueOption6,intersection,32,4321,3,1,['clear']
glass-cage,medium,clueOption6,intersection,64,6324,3,2,"['observe', 'clear']"
glass-cage,medium,clueOption6,intersection,128,8394,3,2,"['observe', 'clear']"
glass-cage,medium,clueOption6,intersection,256,10040,3,3,"['observe', 'puncture', 'clear']"
glass-cage,medium,clueOption6,intersection,512,11145,3,3,"['observe', 'puncture', 'clear']"
glass-cage,medium,clueOption6,intersection,1024,11728,3,3,"['observe', 'puncture', 'clear']"
glass-cage,medium,clueOption6,intersection,2048,11995,3,3,"['observe', 'puncture', 'clear']"
glass-cage,medium,clueOption6,intersection,4096,12121,3,3,"['observe', 'puncture', 'clear']"
glass-cage,medium,clueOption6,union,2,159,3,1,['clear']
glass-cage,medium,clueOption6,union,4,1748,3,1,['clear']
glass-cage,medium,clueOption6,union,8,3791,3,2,"['observe', 'clear']"
glass-cage,medium,clueOption6,union,16,5901,3,2,"['observe', 'clear']"
glass-cage,medium,clueOption6,union,32,7841,3,2,"['observe', 'clear']"
glass-cage,medium,clueOption6,union,64,9572,3,2,"['observe', 'clear']"
glass-cage,medium,clueOption6,union,128,10823,3,2,"['observe', 'clear']"
glass-cage,medium,clueOption6,union,256,11527,3,3,"['observe', 'puncture', 'clear']"
glass-cage,medium,clueOption6,union,512,11910,3,3,"['observe', 'puncture', 'clear']"
glass-cage,medium,clueOption6,union,1024,12092,3,3,"['observe', 'puncture', 'clear']"
glass-cage,medium,clueOption6,union,2048,12150,3,3,"['observe', 'puncture', 'clear']"
