"wordpair","clue","guess","count"
"corpse-fight","gladiator","reality-clock",1
"corpse-fight","gladiator","reality-fight",1
"corpse-fight","gladiator","wrist-extension",1
"corpse-fight","kill","ceiling-graph",1
"corpse-fight","kill","corpse-carpet",1
"corpse-fight","kill","corpse-cautious",2
"corpse-fight","kill","corpse-fangs",5
"corpse-fight","kill","corpse-fight",9
"corpse-fight","kill","corpse-reality",1
"corpse-fight","kill","fangs-corpse",1
"corpse-fight","kill","fight-cautious",1
"corpse-fight","kill","fight-corpse",5
"corpse-fight","kill","fight-fangs",3
"corpse-fight","kill","glacier-cautious",1
"corpse-fight","war","carpet-kitchen",1
"corpse-fight","war","cautious-corpse",3
"corpse-fight","war","cautious-fight",5
"corpse-fight","war","clock-fight",1
"corpse-fight","war","corpse-cautious",1
"corpse-fight","war","corpse-fight",1
"corpse-fight","war","corpse-island",1
"corpse-fight","war","corpse-reality",2
"corpse-fight","war","fangs-reality",1
"corpse-fight","war","fight-cautious",1
"corpse-fight","war","fight-corpse",6
"corpse-fight","war","fight-extension",1
"corpse-fight","war","fight-reality",3
"corpse-fight","war","reality-corpse",1
"corpse-fight","war","reality-fight",2
"crust-boot","fisherman","boot-chain",1
"crust-boot","fisherman","boot-river",1
"crust-boot","fisherman","boot-white",1
"crust-boot","fisherman","found-boot",1
"crust-boot","fisherman","lost-river",1
"crust-boot","fisherman","river-boot",3
"crust-boot","fisherman","river-chain",2
"crust-boot","fisherman","river-clever",1
"crust-boot","fisherman","river-fill",4
"crust-boot","fisherman","river-lost",1
"crust-boot","fisherman","river-pine",1
"crust-boot","fisherman","river-river",1
"crust-boot","fisherman","river-rock",1
"crust-boot","fisherman","river-sit",2
"crust-boot","fisherman","river-stand",3
"crust-boot","fisherman","river-tear",1
"crust-boot","fisherman","river-white",1
"crust-boot","fisherman","sit-boot",1
"crust-boot","fisherman","sit-found",1
"crust-boot","fisherman","sit-river",2
"crust-boot","item","boot-lemon",3
"crust-boot","item","chain-boot",3
"crust-boot","item","chain-flour",1
"crust-boot","item","chain-found",1
"crust-boot","item","chain-lemon",1
"crust-boot","item","chain-rock",1
"crust-boot","item","crust-flour",1
"crust-boot","item","exact-flat",1
"crust-boot","item","flat-sit",1
"crust-boot","item","found-chain",1
"crust-boot","item","found-lost",3
"crust-boot","item","ideal-exact",1
"crust-boot","item","lemon-boot",2
"crust-boot","item","lemon-flour",1
"crust-boot","item","lemon-tear",1
"crust-boot","item","lost-found",5
"crust-boot","item","lost-ideal",1
"crust-boot","item","rock-flour",1
"crust-boot","item","rock-river",1
"crust-boot","mud","boot-crust",1
"crust-boot","mud","boot-elm",1
"crust-boot","mud","boot-river",5
"crust-boot","mud","crust-boot",2
"crust-boot","mud","crust-rock",1
"crust-boot","mud","fill-boot",1
"crust-boot","mud","fill-stand",1
"crust-boot","mud","river-boot",4
"crust-boot","mud","river-crust",1
"crust-boot","mud","river-rock",6
"crust-boot","mud","river-sit",1
"crust-boot","mud","rock-boot",1
"crust-boot","mud","rock-pine",1
"crust-boot","mud","rock-river",3
"crust-boot","mud","rock-stand",1
"crust-boot","old","boot-lost",2
"crust-boot","old","chain-crust",1
"crust-boot","old","chain-river",1
"crust-boot","old","clever-exact",1
"crust-boot","old","clever-sit",2
"crust-boot","old","crust-chain",1
"crust-boot","old","crust-found",1
"crust-boot","old","crust-lost",1
"crust-boot","old","crust-pine",1
"crust-boot","old","crust-river",1
"crust-boot","old","elm-clever",1
"crust-boot","old","elm-pine",3
"crust-boot","old","elm-rock",1
"crust-boot","old","flour-pine",1
"crust-boot","old","lost-elm",1
"crust-boot","old","lost-found",1
"crust-boot","old","pine-crust",1
"crust-boot","old","pine-elm",1
"crust-boot","old","river-crust",1
"crust-boot","old","river-rock",1
"crust-boot","old","rock-elm",1
"crust-boot","old","rock-pine",2
"crust-boot","old","rock-river",1
"crust-boot","old","sit-flat",1
"crust-boot","old","tear-lost",1
"definition-assist","explain","assist-box",1
"definition-assist","explain","assist-definition",2
"definition-assist","explain","assist-experiment",1
"definition-assist","explain","assist-welfare",2
"definition-assist","explain","definition-assist",10
"definition-assist","explain","definition-cover",1
"definition-assist","explain","definition-experiment",5
"definition-assist","explain","experiment-assist",1
"definition-assist","explain","experiment-cover",1
"definition-assist","explain","experiment-definition",2
"definition-assist","explain","experiment-war",1
"definition-assist","explain","pieces-experiment",1
"definition-assist","explain","quiet-war",1
"definition-assist","explain","war-assist",1
"definition-assist","help","assist-assist",1
"definition-assist","help","assist-conquer",4
"definition-assist","help","assist-definition",1
"definition-assist","help","assist-experiment",1
"definition-assist","help","assist-pieces",1
"definition-assist","help","assist-welfare",7
"definition-assist","help","conquer-cover",1
"definition-assist","help","definition-experiment",1
"definition-assist","help","experiment-welfare",1
"definition-assist","help","oyster-welfare",1
"definition-assist","help","quiet-assist",1
"definition-assist","help","war-assist",3
"definition-assist","help","war-welfare",2
"definition-assist","help","welfare-assist",2
"definition-assist","help","welfare-experiment",1
"definition-assist","help","welfare-pieces",1
"definition-assist","help","welfare-tree",1
"definition-assist","rondo","assist-assist",1
"definition-assist","rondo","assist-bull",3
"definition-assist","rondo","assist-necklace",1
"definition-assist","rondo","beach-assist",1
"definition-assist","rondo","beach-syrup",1
"definition-assist","rondo","beach-tree",1
"definition-assist","rondo","bull-box",1
"definition-assist","rondo","bull-bull",1
"definition-assist","rondo","bull-cover",1
"definition-assist","rondo","collar-pieces",1
"definition-assist","rondo","definition-beaker",1
"definition-assist","rondo","definition-experiment",1
"definition-assist","rondo","definition-milk",1
"definition-assist","rondo","experiment-quiet",2
"definition-assist","rondo","oyster-beach",1
"definition-assist","rondo","pants-pants",1
"definition-assist","rondo","pieces-quiet",2
"definition-assist","rondo","pieces-syrup",1
"definition-assist","rondo","quiet-collar",1
"definition-assist","rondo","quiet-cover",1
"definition-assist","rondo","quiet-definition",1
"definition-assist","rondo","quiet-pieces",2
"definition-assist","rondo","war-conquer",2
"definition-assist","rondo","welfare-welfare",1
"definition-assist","synonym","assist-cover",1
"definition-assist","synonym","assist-definition",1
"definition-assist","synonym","assist-welfare",1
"definition-assist","synonym","collar-conquer",1
"definition-assist","synonym","collar-necklace",2
"definition-assist","synonym","conquer-cover",1
"definition-assist","synonym","conquer-war",2
"definition-assist","synonym","definition-assist",8
"definition-assist","synonym","definition-definition",3
"definition-assist","synonym","definition-experiment",1
"definition-assist","synonym","definition-pieces",2
"definition-assist","synonym","experiment-beaker",1
"definition-assist","synonym","necklace-collar",1
"definition-assist","synonym","oyster-collar",1
"definition-assist","synonym","war-conquer",2
"definition-assist","synonym","welfare-assist",1
"definition-assist","synonym","welfare-collar",1
"dream-bet","chance","bet-dream",2
"dream-bet","chance","bet-give",2
"dream-bet","chance","bet-hope",2
"dream-bet","chance","bet-leap",1
"dream-bet","chance","dream-bet",2
"dream-bet","chance","dream-hope",1
"dream-bet","chance","dream-path",1
"dream-bet","chance","dream-weak",1
"dream-bet","chance","give-dream",2
"dream-bet","chance","give-hope",2
"dream-bet","chance","give-leap",1
"dream-bet","chance","glue-travel",1
"dream-bet","chance","hope-bet",1
"dream-bet","chance","hope-dream",4
"dream-bet","chance","hope-poor",1
"dream-bet","chance","hope-travel",1
"dream-bet","chance","leap-bet",1
"dream-bet","chance","leap-dream",1
"dream-bet","chance","path-dream",2
"dream-bet","chance","travel-dream",1
"dream-bet","dopamine","bet-give",1
"dream-bet","dopamine","dream-bet",1
"dream-bet","dopamine","dream-dream",1
"dream-bet","dopamine","dream-give",1
"dream-bet","dopamine","dream-gun",1
"dream-bet","dopamine","dream-hope",5
"dream-bet","dopamine","dream-leap",1
"dream-bet","dopamine","dream-usual",1
"dream-bet","dopamine","give-fork",1
"dream-bet","dopamine","glue-chief",1
"dream-bet","dopamine","gun-halo",1
"dream-bet","dopamine","halo-dream",1
"dream-bet","dopamine","hope-angel",1
"dream-bet","dopamine","hope-dream",7
"dream-bet","dopamine","hope-give",1
"dream-bet","dopamine","hope-poor",1
"dream-bet","dopamine","hope-usual",1
"dream-bet","dopamine","jump-usual",1
"dream-bet","dopamine","travel-dream",1
"dream-bet","dopamine","weak-hope",1
"dream-bet","luck","angel-bet",1
"dream-bet","luck","angel-hope",1
"dream-bet","luck","bet-hope",1
"dream-bet","luck","bet-leap",1
"dream-bet","luck","bet-poor",2
"dream-bet","luck","chief-angel",1
"dream-bet","luck","dream-bet",2
"dream-bet","luck","dream-give",1
"dream-bet","luck","dream-hope",2
"dream-bet","luck","dream-poor",1
"dream-bet","luck","halo-angel",1
"dream-bet","luck","halo-glue",1
"dream-bet","luck","halo-hope",1
"dream-bet","luck","hope-angel",2
"dream-bet","luck","hope-bet",3
"dream-bet","luck","hope-dream",4
"dream-bet","luck","hope-halo",1
"dream-bet","luck","leap-dream",1
"dream-bet","luck","path-dream",1
"dream-bet","luck","poor-dream",1
"dream-bet","luck","poor-hope",1
"dream-bet","money","bet-bet",1
"dream-bet","money","bet-dream",2
"dream-bet","money","bet-give",2
"dream-bet","money","bet-poor",2
"dream-bet","money","bet-travel",1
"dream-bet","money","chief-bet",1
"dream-bet","money","chief-give",1
"dream-bet","money","chief-poor",1
"dream-bet","money","dream-chief",1
"dream-bet","money","dream-path",1
"dream-bet","money","dream-poor",1
"dream-bet","money","give-poor",2
"dream-bet","money","give-travel",1
"dream-bet","money","gun-halo",1
"dream-bet","money","hope-dream",1
"dream-bet","money","hope-poor",1
"dream-bet","money","poor-bet",3
"dream-bet","money","poor-give",5
"dream-bet","money","poor-hope",1
"dream-bet","money","travel-dream",1
"east-short","directionless","cage-glass",1
"east-short","directionless","dim-old",1
"east-short","directionless","east-dim",1
"east-short","directionless","east-empty",2
"east-short","directionless","east-heart",2
"east-short","directionless","east-love",1
"east-short","directionless","east-meter",2
"east-short","directionless","east-new",1
"east-short","directionless","east-old",2
"east-short","directionless","empty-dim",1
"east-short","directionless","empty-east",3
"east-short","directionless","empty-hard",1
"east-short","directionless","empty-heavy",1
"east-short","directionless","empty-love",1
"east-short","directionless","empty-meter",1
"east-short","directionless","empty-new",1
"east-short","directionless","empty-worn",2
"east-short","directionless","hard-empty",1
"east-short","directionless","hard-wood",1
"east-short","directionless","meter-east",1
"east-short","directionless","meter-empty",1
"east-short","directionless","new-empty",1
"east-short","directionless","short-timber",1
"east-short","navigate","east-boots",1
"east-short","navigate","east-glass",1
"east-short","navigate","east-hard",4
"east-short","navigate","east-heart",1
"east-short","navigate","east-meter",6
"east-short","navigate","east-new",1
"east-short","navigate","east-short",1
"east-short","navigate","east-wood",1
"east-short","navigate","full-east",1
"east-short","navigate","glass-glass",1
"east-short","navigate","hard-east",1
"east-short","navigate","heart-wood",1
"east-short","navigate","heart-worn",1
"east-short","navigate","meter-east",4
"east-short","navigate","meter-full",1
"east-short","navigate","meter-kitchen",1
"east-short","navigate","new-boots",1
"east-short","navigate","timber-east",1
"east-short","navigate","wood-east",1
"east-short","small","boots-glass",1
"east-short","small","boots-short",1
"east-short","small","dim-cage",1
"east-short","small","dim-heart",1
"east-short","small","dim-short",1
"east-short","small","empty-full",1
"east-short","small","empty-glass",1
"east-short","small","empty-short",1
"east-short","small","full-glass",1
"east-short","small","glass-boots",1
"east-short","small","heart-empty",1
"east-short","small","heart-short",1
"east-short","small","heart-soft",1
"east-short","small","heavy-cage",1
"east-short","small","short-cage",1
"east-short","small","short-dim",3
"east-short","small","short-empty",3
"east-short","small","short-heavy",1
"east-short","small","short-kitchen",1
"east-short","small","short-love",1
"east-short","small","short-meter",1
"east-short","small","short-new",1
"east-short","small","short-short",1
"east-short","small","soft-heavy",1
"east-short","small","soft-old",1
"east-short","small","wood-dim",1
"east-short","turn","dim-new",1
"east-short","turn","dim-old",1
"east-short","turn","east-full",1
"east-short","turn","east-glass",1
"east-short","turn","east-hard",2
"east-short","turn","east-heavy",1
"east-short","turn","east-meter",7
"east-short","turn","east-new",2
"east-short","turn","east-short",1
"east-short","turn","east-wood",1
"east-short","turn","empty-timber",1
"east-short","turn","full-short",1
"east-short","turn","heart-boots",1
"east-short","turn","heart-heart",1
"east-short","turn","love-new",1
"east-short","turn","meter-east",2
"east-short","turn","meter-full",1
"east-short","turn","meter-new",1
"east-short","turn","old-east",2
"east-short","turn","soft-old",1
"elm-rock","hard","boot-rock",1
"elm-rock","hard","chain-rock",1
"elm-rock","hard","chain-tear",1
"elm-rock","hard","crust-elm",1
"elm-rock","hard","crust-ideal",1
"elm-rock","hard","crust-tear",1
"elm-rock","hard","elm-rock",1
"elm-rock","hard","flat-exact",1
"elm-rock","hard","pine-crust",1
"elm-rock","hard","pine-flat",1
"elm-rock","hard","rock-boot",2
"elm-rock","hard","rock-chain",7
"elm-rock","hard","rock-crust",4
"elm-rock","hard","rock-elm",1
"elm-rock","hard","rock-flat",1
"elm-rock","hard","rock-lost",1
"elm-rock","hard","rock-pine",3
"elm-rock","hard","sit-rock",1
"elm-rock","landmark","elm-lost",1
"elm-rock","landmark","elm-rock",1
"elm-rock","landmark","exact-river",1
"elm-rock","landmark","found-exact",2
"elm-rock","landmark","found-rock",1
"elm-rock","landmark","pine-elm",1
"elm-rock","landmark","river-found",1
"elm-rock","landmark","river-lost",1
"elm-rock","landmark","river-pine",2
"elm-rock","landmark","river-rock",7
"elm-rock","landmark","rock-elm",1
"elm-rock","landmark","rock-exact",1
"elm-rock","landmark","rock-flat",1
"elm-rock","landmark","rock-pine",1
"elm-rock","landmark","rock-river",5
"elm-rock","landmark","stand-ideal",1
"elm-rock","landmark","stand-rock",1
"elm-rock","landmark","stand-tear",1
"elm-rock","tree","chain-rock",1
"elm-rock","tree","elm-pine",10
"elm-rock","tree","pine-elm",13
"elm-rock","tree","pine-lemon",1
"elm-rock","tree","pine-river",1
"elm-rock","tree","river-pine",2
"elm-rock","tree","rock-elm",1
"elm-rock","tree","rock-pine",1
"elm-rock","wood","elm-chain",1
"elm-rock","wood","elm-pine",10
"elm-rock","wood","elm-rock",1
"elm-rock","wood","pine-chain",1
"elm-rock","wood","pine-elm",13
"elm-rock","wood","pine-river",2
"elm-rock","wood","pine-rock",1
"elm-rock","wood","pine-stand",1
"exam-algebra","knowledge","algebra-exam",7
"exam-algebra","knowledge","algebra-instruction",1
"exam-algebra","knowledge","burglar-instruction",1
"exam-algebra","knowledge","depth-exam",1
"exam-algebra","knowledge","depth-instruction",1
"exam-algebra","knowledge","exam-algebra",3
"exam-algebra","knowledge","exam-better",1
"exam-algebra","knowledge","exam-instruction",2
"exam-algebra","knowledge","exam-write",3
"exam-algebra","knowledge","instruction-algebra",1
"exam-algebra","knowledge","instruction-exam",2
"exam-algebra","knowledge","instruction-pen",1
"exam-algebra","knowledge","instruction-write",1
"exam-algebra","knowledge","rumor-instruction",1
"exam-algebra","knowledge","write-algebra",1
"exam-algebra","knowledge","write-outfit",1
"exam-algebra","knowledge","write-pen",2
"exam-algebra","math","abnormal-algebra",1
"exam-algebra","math","algebra-exam",9
"exam-algebra","math","algebra-instruction",3
"exam-algebra","math","algebra-pen",1
"exam-algebra","math","algebra-void",1
"exam-algebra","math","algebra-write",3
"exam-algebra","math","angry-algebra",1
"exam-algebra","math","bandanna-bandanna",1
"exam-algebra","math","exam-algebra",5
"exam-algebra","math","exam-instruction",1
"exam-algebra","math","exam-pen",1
"exam-algebra","math","instruction-exam",1
"exam-algebra","math","write-exam",2
"exam-algebra","school","algebra-exam",8
"exam-algebra","school","algebra-instruction",2
"exam-algebra","school","algebra-pen",1
"exam-algebra","school","algebra-write",1
"exam-algebra","school","angry-write",1
"exam-algebra","school","exam-algebra",2
"exam-algebra","school","exam-instruction",1
"exam-algebra","school","exam-void",1
"exam-algebra","school","exam-write",2
"exam-algebra","school","instruction-algebra",4
"exam-algebra","school","instruction-exam",3
"exam-algebra","school","instruction-write",1
"exam-algebra","school","outfit-algebra",2
"exam-algebra","school","pen-exam",1
"exam-algebra","test","abnormal-bandanna",1
"exam-algebra","test","algebra-exam",2
"exam-algebra","test","algebra-instruction",1
"exam-algebra","test","algebra-pen",2
"exam-algebra","test","algebra-void",1
"exam-algebra","test","algebra-write",2
"exam-algebra","test","exam-algebra",8
"exam-algebra","test","exam-angry",2
"exam-algebra","test","exam-instruction",2
"exam-algebra","test","exam-pen",3
"exam-algebra","test","exam-void",1
"exam-algebra","test","exam-write",2
"exam-algebra","test","instruction-exam",1
"exam-algebra","test","pen-angry",1
"exam-algebra","test","pen-exam",1
"famine-calorie","deficit","aid-aid",1
"famine-calorie","deficit","blood-calorie",1
"famine-calorie","deficit","blood-nurse",1
"famine-calorie","deficit","calorie-blood",1
"famine-calorie","deficit","calorie-college",1
"famine-calorie","deficit","calorie-economy",1
"famine-calorie","deficit","calorie-famine",3
"famine-calorie","deficit","calorie-ill",2
"famine-calorie","deficit","college-ill",1
"famine-calorie","deficit","college-lawyer",1
"famine-calorie","deficit","dark-literature",1
"famine-calorie","deficit","disgust-calorie",1
"famine-calorie","deficit","economy-blood",1
"famine-calorie","deficit","economy-calorie",1
"famine-calorie","deficit","economy-hundred",2
"famine-calorie","deficit","economy-lawyer",1
"famine-calorie","deficit","famine-calorie",1
"famine-calorie","deficit","famine-economy",1
"famine-calorie","deficit","famine-ill",1
"famine-calorie","deficit","hundred-calorie",1
"famine-calorie","deficit","ill-aid",1
"famine-calorie","deficit","ill-calorie",1
"famine-calorie","deficit","ill-dark",1
"famine-calorie","deficit","ill-wicked",1
"famine-calorie","deficit","jeans-blood",1
"famine-calorie","deficit","lawyer-college",1
"famine-calorie","diet","calorie-aid",1
"famine-calorie","diet","calorie-circle",1
"famine-calorie","diet","calorie-college",2
"famine-calorie","diet","calorie-day",1
"famine-calorie","diet","calorie-disgust",1
"famine-calorie","diet","calorie-famine",7
"famine-calorie","diet","calorie-ill",5
"famine-calorie","diet","calorie-jeans",2
"famine-calorie","diet","disgust-lion",1
"famine-calorie","diet","famine-calorie",5
"famine-calorie","diet","famine-ill",1
"famine-calorie","diet","ill-calorie",1
"famine-calorie","diet","jeans-aid",1
"famine-calorie","diet","nurse-blood",1
"famine-calorie","food","aid-college",1
"famine-calorie","food","calorie-aid",1
"famine-calorie","food","calorie-blood",2
"famine-calorie","food","calorie-day",1
"famine-calorie","food","calorie-disgust",2
"famine-calorie","food","calorie-famine",11
"famine-calorie","food","calorie-ill",1
"famine-calorie","food","calorie-lion",2
"famine-calorie","food","calorie-nurse",1
"famine-calorie","food","famine-calorie",3
"famine-calorie","food","famine-disgust",1
"famine-calorie","food","famine-economy",1
"famine-calorie","food","famine-ill",1
"famine-calorie","food","lion-ill",1
"famine-calorie","food","literature-famine",1
"famine-calorie","hunger","aid-calorie",1
"famine-calorie","hunger","blood-famine",1
"famine-calorie","hunger","calorie-aid",1
"famine-calorie","hunger","calorie-blood",2
"famine-calorie","hunger","calorie-famine",3
"famine-calorie","hunger","calorie-lion",1
"famine-calorie","hunger","day-lion",1
"famine-calorie","hunger","famine-aid",1
"famine-calorie","hunger","famine-calorie",9
"famine-calorie","hunger","famine-economy",2
"famine-calorie","hunger","famine-ill",3
"famine-calorie","hunger","lawyer-aid",1
"famine-calorie","hunger","lion-aid",1
"famine-calorie","hunger","lion-disgust",1
"famine-calorie","hunger","wicked-day",1
"famine-calorie","hunger","wicked-famine",1
"feet-chapel","foot","feet-bone",8
"feet-chapel","foot","feet-chair",2
"feet-chapel","foot","feet-dune",1
"feet-chapel","foot","feet-feet",2
"feet-chapel","foot","feet-gas",1
"feet-chapel","foot","feet-pure",1
"feet-chapel","foot","feet-sand",11
"feet-chapel","foot","feet-ship",1
"feet-chapel","foot","fire-dope",1
"feet-chapel","foot","sand-bone",1
"feet-chapel","foot","sand-feet",1
"feet-chapel","god","blaze-pure",2
"feet-chapel","god","boss-blaze",1
"feet-chapel","god","boss-chapel",4
"feet-chapel","god","boss-pure",1
"feet-chapel","god","chapel-aware",1
"feet-chapel","god","chapel-boss",1
"feet-chapel","god","chapel-dune",1
"feet-chapel","god","chapel-early",1
"feet-chapel","god","chapel-pure",11
"feet-chapel","god","dope-chair",1
"feet-chapel","god","early-aware",1
"feet-chapel","god","pure-aware",1
"feet-chapel","god","pure-boss",1
"feet-chapel","god","pure-chapel",2
"feet-chapel","god","sand-gas",1
"feet-chapel","kneel","chair-dune",1
"feet-chapel","kneel","chair-feet",1
"feet-chapel","kneel","chapel-aware",1
"feet-chapel","kneel","chapel-boss",2
"feet-chapel","kneel","chapel-chair",2
"feet-chapel","kneel","chapel-feet",4
"feet-chapel","kneel","chapel-pure",1
"feet-chapel","kneel","chapel-ring",2
"feet-chapel","kneel","chapel-table",1
"feet-chapel","kneel","feet-aware",1
"feet-chapel","kneel","feet-boss",1
"feet-chapel","kneel","feet-chair",2
"feet-chapel","kneel","feet-late",1
"feet-chapel","kneel","feet-pure",1
"feet-chapel","kneel","feet-ring",1
"feet-chapel","kneel","feet-ship",1
"feet-chapel","kneel","feet-table",1
"feet-chapel","kneel","fire-chapel",1
"feet-chapel","kneel","pure-chapel",1
"feet-chapel","kneel","pure-feet",1
"feet-chapel","kneel","ring-chapel",1
"feet-chapel","kneel","ring-sand",1
"feet-chapel","kneel","table-chapel",1
"feet-chapel","penny loafers","bone-bone",1
"feet-chapel","penny loafers","boss-boss",1
"feet-chapel","penny loafers","chair-pure",1
"feet-chapel","penny loafers","chapel-ring",1
"feet-chapel","penny loafers","dope-dope",1
"feet-chapel","penny loafers","dope-feet",1
"feet-chapel","penny loafers","dope-table",1
"feet-chapel","penny loafers","early-late",1
"feet-chapel","penny loafers","feet-boss",3
"feet-chapel","penny loafers","feet-chair",1
"feet-chapel","penny loafers","feet-dope",3
"feet-chapel","penny loafers","feet-early",2
"feet-chapel","penny loafers","feet-feet",3
"feet-chapel","penny loafers","feet-late",1
"feet-chapel","penny loafers","feet-list",1
"feet-chapel","penny loafers","feet-pure",3
"feet-chapel","penny loafers","feet-sand",1
"feet-chapel","penny loafers","pure-feet",2
"feet-chapel","penny loafers","ship-late",1
"feet-chapel","penny loafers","table-chair",1
"flat-alike","feet","alike-deteriorate",1
"flat-alike","feet","baby-beauty",1
"flat-alike","feet","baby-feather",1
"flat-alike","feet","baby-heavy",1
"flat-alike","feet","baby-man",3
"flat-alike","feet","baby-puppy",3
"flat-alike","feet","deteriorate-baby",1
"flat-alike","feet","deteriorate-man",1
"flat-alike","feet","feather-flat",1
"flat-alike","feet","flat-alike",1
"flat-alike","feet","flat-baby",1
"flat-alike","feet","flat-beauty",1
"flat-alike","feet","flat-float",2
"flat-alike","feet","flat-heavy",1
"flat-alike","feet","flat-man",1
"flat-alike","feet","flat-puppy",1
"flat-alike","feet","float-baby",1
"flat-alike","feet","float-flat",1
"flat-alike","feet","heavy-man",2
"flat-alike","feet","man-baby",2
"flat-alike","feet","man-flat",1
"flat-alike","feet","man-puppy",1
"flat-alike","feet","puppy-man",1
"flat-alike","pancake","beauty-baby",1
"flat-alike","pancake","flat-baby",1
"flat-alike","pancake","flat-beauty",2
"flat-alike","pancake","flat-feather",1
"flat-alike","pancake","flat-float",1
"flat-alike","pancake","flat-grocery",6
"flat-alike","pancake","flat-heavy",4
"flat-alike","pancake","flat-receipt",2
"flat-alike","pancake","grocery-flat",2
"flat-alike","pancake","grocery-heavy",2
"flat-alike","pancake","grocery-herb",2
"flat-alike","pancake","grocery-receipt",1
"flat-alike","pancake","heavy-flat",1
"flat-alike","pancake","service-grocery",1
"flat-alike","pancake","service-heavy",1
"flat-alike","pancake","service-receipt",1
"flat-alike","pancake","winter-grocery",1
"flat-alike","plain","baby-puppy",1
"flat-alike","plain","baptist-baby",1
"flat-alike","plain","beauty-alike",1
"flat-alike","plain","beauty-flat",2
"flat-alike","plain","beauty-herb",1
"flat-alike","plain","beauty-winter",1
"flat-alike","plain","feather-herb",1
"flat-alike","plain","flat-alike",4
"flat-alike","plain","flat-baby",1
"flat-alike","plain","flat-beauty",1
"flat-alike","plain","flat-feather",1
"flat-alike","plain","flat-flat",1
"flat-alike","plain","flat-grocery",1
"flat-alike","plain","flat-heavy",1
"flat-alike","plain","flat-herb",2
"flat-alike","plain","flat-man",1
"flat-alike","plain","flat-winter",2
"flat-alike","plain","heavy-man",1
"flat-alike","plain","herb-receipt",1
"flat-alike","plain","hose-man",1
"flat-alike","plain","man-flat",2
"flat-alike","plain","receipt-winter",1
"flat-alike","plain","winter-perjury",1
"flat-alike","same","adultery-perjury",1
"flat-alike","same","alike-adultery",1
"flat-alike","same","alike-alike",2
"flat-alike","same","alike-baby",3
"flat-alike","same","alike-baptist",1
"flat-alike","same","alike-beauty",1
"flat-alike","same","alike-competition",2
"flat-alike","same","alike-deteriorate",1
"flat-alike","same","alike-flat",1
"flat-alike","same","alike-man",2
"flat-alike","same","alike-service",1
"flat-alike","same","alike-winter",1
"flat-alike","same","baby-puppy",3
"flat-alike","same","baby-winter",1
"flat-alike","same","beauty-baby",1
"flat-alike","same","competition-alike",1
"flat-alike","same","competition-man",1
"flat-alike","same","flat-heavy",1
"flat-alike","same","grocery-herb",1
"flat-alike","same","man-adultery",1
"flat-alike","same","man-baby",1
"flat-alike","same","puppy-baby",2
"garage-bone","back","aware-late",1
"garage-bone","back","bone-bone",1
"garage-bone","back","bone-chair",3
"garage-bone","back","bone-feet",1
"garage-bone","back","chair-bone",6
"garage-bone","back","chair-garage",1
"garage-bone","back","chair-late",1
"garage-bone","back","early-garage",1
"garage-bone","back","early-late",1
"garage-bone","back","feet-bone",2
"garage-bone","back","garage-late",1
"garage-bone","back","gas-list",1
"garage-bone","back","late-aware",1
"garage-bone","back","late-bone",1
"garage-bone","back","late-early",2
"garage-bone","back","list-bone",1
"garage-bone","back","list-table",1
"garage-bone","back","pure-garage",1
"garage-bone","back","ring-list",1
"garage-bone","back","ship-chair",1
"garage-bone","back","table-early",1
"garage-bone","car","garage-boss",1
"garage-bone","car","garage-dope",1
"garage-bone","car","garage-gas",6
"garage-bone","car","garage-ship",1
"garage-bone","car","gas-aware",1
"garage-bone","car","gas-fire",2
"garage-bone","car","gas-garage",11
"garage-bone","car","gas-ring",1
"garage-bone","car","gas-ship",2
"garage-bone","car","late-early",1
"garage-bone","car","late-gas",1
"garage-bone","car","sand-late",1
"garage-bone","car","ship-garage",1
"garage-bone","epidermis","bone-feet",7
"garage-bone","epidermis","bone-pure",1
"garage-bone","epidermis","boss-boss",1
"garage-bone","epidermis","dope-aware",1
"garage-bone","epidermis","early-pure",1
"garage-bone","epidermis","feet-bone",13
"garage-bone","epidermis","gas-late",1
"garage-bone","epidermis","pure-blaze",1
"garage-bone","epidermis","pure-bone",1
"garage-bone","epidermis","ring-dune",1
"garage-bone","epidermis","sand-aware",1
"garage-bone","epidermis","ship-aware",1
"garage-bone","snoopy","aware-bone",1
"garage-bone","snoopy","aware-dune",1
"garage-bone","snoopy","aware-early",2
"garage-bone","snoopy","aware-feet",1
"garage-bone","snoopy","aware-list",1
"garage-bone","snoopy","blaze-dope",1
"garage-bone","snoopy","bone-boss",1
"garage-bone","snoopy","bone-dope",1
"garage-bone","snoopy","bone-pure",1
"garage-bone","snoopy","boss-garage",1
"garage-bone","snoopy","chapel-blaze",1
"garage-bone","snoopy","dope-aware",1
"garage-bone","snoopy","dope-bone",2
"garage-bone","snoopy","dope-boss",3
"garage-bone","snoopy","dope-fire",1
"garage-bone","snoopy","dope-garage",1
"garage-bone","snoopy","dope-pure",2
"garage-bone","snoopy","dope-ship",1
"garage-bone","snoopy","feet-aware",1
"garage-bone","snoopy","garage-bone",1
"garage-bone","snoopy","late-aware",1
"garage-bone","snoopy","list-early",1
"garage-bone","snoopy","pure-bone",1
"garage-bone","snoopy","pure-garage",1
"garage-bone","snoopy","pure-list",1
"giant-subtle","big","acre-giant",1
"giant-subtle","big","acre-tall",1
"giant-subtle","big","giant-army",2
